patch_id,book_no,chapter_no,field,op,old,new,expect_count,notes
GR_2_56_1,2,56,entry_gr,REPLACE,τρώτης,πρώτης,1,"OCR cluster fix"
GR_2_56_2,2,56,entry_gr,REPLACE,σελίνῆς,σελήνης,1,"OCR cluster fix"
GR_2_56_3,2,56,entry_gr,REPLACE,ἐτιλημπτικοὺς,ἐπιλημπτικοὺς,1,"OCR cluster fix"
GR_2_56_4,2,56,entry_gr,REPLACE,ἀυτοκαταστήσεις,ἀποκαταστήσεις,1,"OCR cluster fix"
GR_2_56_5,2,56,entry_gr,REPLACE,ῤξυωπίας,ὀξυωπίας,1,"OCR cluster fix"
GR_2_56_6,2,56,entry_gr,REPLACE,ῤξυδερκίαν,ὀξυδερκίαν,1,"OCR cluster fix"
GR_2_66_1,2,66,entry_gr,REPLACE,"σκίγκ ρς.","σκίγκος.",1,"OCR cluster fix"
GR_2_66_2,2,66,entry_gr,REPLACE,"δ δὲ νδικὸς","ὁ δὲ Ἰνδικὸς",1,"OCR cluster fix"
GR_2_66_3,2,66,entry_gr,REPLACE,ρμητικὴν,ὁρμητικὴν,1,"OCR cluster fix"
GR_2_76_1,2,76,entry_gr,REPLACE,χμωρὶς,χωρὶς,1,"OCR cluster fix"
GR_2_76_2,2,76,entry_gr,REPLACE,χμροῦσαν,χωροῦσαν,1,"OCR cluster fix"
GR_2_76_3,2,76,entry_gr,REPLACE,θυίον,θυΐαν,1,"OCR cluster fix"
GR_2_76_4,2,76,entry_gr,REPLACE,ἐξενίσας,ἐξυμενίσας,1,"OCR cluster fix"
EN_1_64_ORPHAN_FOOTNOTE,1,64,entry_en,REPLACE,"ears. produced.’ 5.","ears. 5.",1,"Remove orphaned footnote fragment"
EN_2_110_WILD_TURNIP,2,110,entry_en,REPLACE,"2. dypia yoyyukri. Eastern cress grows in fields.","2. The wild turnip grows in fields.",1,"Fix mistranslated/mis-OCR opening for wild turnip section"
EN_4_164_FOOTNOTE_BROAD,4,164,entry_en,REPLACE,"%%58 “Broad-leaved spurge.” ","",1,"Remove injected footnote fragment"
EN_4_164_FOOTNOTE_SUN,4,164,entry_en,REPLACE,"%%59 From fiXioi;, “sun” and the suffix okoji- of OKOJteuo), “look toward.” ","",1,"Remove injected footnote fragment"
EN_2_38_STRIP_MISPLACED_FOOTNOTES,2,38,entry_en,REGEX_REPLACE,"\s*%%17[\s\S]*$","",1,"Strip misplaced fish footnotes from end of row"
EN_2_50_REMOVE_MISPLACED_FOOTNOTE_19,2,50,entry_en,REPLACE,"%%19 All four plants are described as being cathartic. See Dsc. Bk. II, 122, IV, 186, 188, and 189. ","",1,"Remove misplaced footnote"
EN_2_55_STRIP_MISPLACED_SERPENT_FOOTNOTE,2,55,entry_en,REGEX_REPLACE,"\s*%%22;[\s\S]*$","",1,"Strip misplaced serpent/vulture footnote from end of row"
EN_3_104_REPAIR_LILY_FOOTNOTE_INTRUSION,3,104,entry_en,REPLACE,"%%The reference is to Turk’s cap lily, Lilium chalcedonicum L. The meaning is made clear by the etymology of pskirraiva, a compound word from ","those of the ",1,"Repair lily footnote intrusion that breaks the sentence"
EN_2_79_REMOVE_MASSIVE_ETYMOLOGY_FOOTNOTE_TAIL,2,79,entry_en,REGEX_REPLACE,"\s*%%The Greek text reads[\s\S]*$","",1,"Remove massive appended etymology footnote tail"
EN_1_68_BUM_TO_BURN,1,68,entry_en,REGEX_REPLACE,"\bbum(s)?\b","burn\1",7,"Fix OCR rn/m (bum->burn) in this row"
EN_5_76_BUM_TO_BURN,5,76,entry_en,REGEX_REPLACE,"\bbum(s)?\b","burn\1",2,"Fix OCR rn/m (bum->burn) in this row"
EN_5_108_BUM_TO_BURN,5,108,entry_en,REGEX_REPLACE,"\bbum(s)?\b","burn\1",1,"Fix OCR rn/m (bum->burn) in this row"
EN_5_88_BUM_TO_BURN,5,88,entry_en,REGEX_REPLACE,"\bbum(s)?\b","burn\1",1,"Fix OCR rn/m (bum->burn) in this row"
EN_1_43_IO_TO_10,1,43,entry_en,REPLACE,"into the io litrai","into the 10 litrai",1,"Fix misread measure"
EN_1_47_LILRPI_TO_LITRAI,1,47,entry_en,REPLACE,"five lilrpi olive oil","five litrai olive oil",1,"Fix misread unit"
EN_4_113_HOODED_TO_FLOODED_AND_DROP_QUOTE,4,113,entry_en,REGEX_REPLACE,"fields are Hooded:\s*\x5c\x22\s*","fields are flooded: ",1,"Fix Hooded->flooded and drop stray quote artifact"
EN_5_75_POMHOLYX_TYPO,5,75,entry_en,REPLACE,"Pomholyx","Pompholyx",1,"Fix typo"
EN_4_37_PRESTER_TYPO,4,37,entry_en,REPLACE,"plester)","prester)",1,"Fix typo"
EN_1_112_NUMBERING_GLITCH,1,112,entry_en,REGEX_REPLACE,"^1\s+5\s+The cultivated myrtle","1. The cultivated myrtle",1,"Fix numbering glitch"
EN_3_104_DOUBLE_THE_FIX,3,104,entry_en,REPLACE,"resemble the those of the","resemble those of the",1,"Fix post-patch double-the artifact"
GR_4_151_PRES_PREFIX,4,151,entry_gr,REGEX_REPLACE,"^\[151\s+","",1,"Strip section-number presentation prefix from Greek"
EN_4_151_FOOTNOTE,4,151,entry_en,REGEX_REPLACE,"\]49\s*%%.*$","",1,"Strip trailing footnote marker and footnote text"
